노래제목,가수,가사
180도,벤,사랑 다 비슷해 그래 다 비슷해 너는 다르길 바랐는데 넌 뭐가 미안해 왜 맨날 미안해 헤어지는 날조차 너는 이유를 몰라 이젠 180도 달라진 너의 표정 그 말투 너무 따뜻했던 눈빛 네 향기까지도 정말 너무나도 달라진 우리 사랑 또 추억 아직 그대로인데 난 이젠 180도 변해버린 지금 너와 나 남자는 다 비슷해 그래 다 비슷해 너는 아니길 바랐는데 말로만 사랑해 거짓말 그만해 헤어지는 날조차 왜 넌 이유를 몰라 이젠 180도 달라진 너의 표정 그 말투 너무 따뜻했던 눈빛 네 향기까지도 정말 너무나도 달라진 우리 사랑 또 추억 아직 그대로인데 난 이젠 180도 변해버린 지금 너와 나 사랑해 말하지 않아도 너의 눈에 쓰여 있었던 그때가 참 그리워 이젠 180도 변해버린 너와 나의 약속 익숙해진 변명 거짓말까지도 모두 진심이라 믿었던 바보 같던 내 사랑 전부 지쳐버렸어 난 이젠 180도 변해버린 지금 너와 나 이젠 너무나도 그리워진 그때 너와 나
너에게 못했던 내 마지막 말은,다비치,아직 남았을까 못 잊을 이유가 남아 있을까 나만 왜 이렇게 바보같이 혼자 널 기다릴까 음 애꿎은 바람들은 말도 안 되는 네 말을 또 믿고 싶게 해 달라질 게 없는데 끝인 걸 아는데 생각이 나 그 모든 게 나 어쩌면 너에게 하고 싶은 말은 긴 밤을 지새도 아직 너를 많이 사랑한다고 이 아픈 시간이 어서 지나가기를 조금만 더 버텨볼게 네가 없는 하루가 버겁긴 하지만 보고 싶은 마음 꾹 참고 하루에 하나씩 잊어볼게 그래 볼게 매일 이런 다짐을 해 습관처럼 생각보다 길어진 그리움이 익숙해져 가는 날들에 제법 웃기도 하다 또 괜찮다가도 생각이 나 네 모든 게 나 어쩌면 너에게 하고 싶은 말은 긴 밤을 지새도 아직 너를 많이 사랑한다고 이 아픈 시간이 어서 지나가기를 조금만 더 버텨볼게 네가 없는 하루가 버겁긴 하지만 보고 싶은 마음 꾹 참고 하루에 하나씩 잊어볼게 그래 볼게 매일 이런 다짐을 해 습관처럼 괜찮은 척 비워낸 척해봐도 사실 많이 힘들어서 당장이라도 네게 가고 싶어 지금은 아니어도 끝내 내 손잡아 줘 oh 너에게 못했던 내 마지막 말은 언젠가 한 번쯤 나를 떠올리다 그리워지면 언제든 돌아와 난 여기 있을 거야 아무 일 없던 것처럼 너 없는 하루가 어렵긴 하지만 이 정도쯤은 꾹 참고 하루에 하나씩 기억할게 그래 볼게 사랑을 시작하던 그때처럼
신용재,하은 (포맨),매일 같은 옷을 입는 이유 너와 함께 입던 옷이라서 혹시 어디선가 알아보고 날 찾아줄까 봐 네가 좋아했던 옷을 입고 네가 좋아했던 가수처럼 노래하면 네가 볼 것 같아서 신용재를 따라 하고 따라 해도 안 되는 것처럼 사랑을 따라 하고 흉내 내도 안 되는 것처럼 목이 부서져라 이 노래를 불러도 너는 다시 돌아오질 않잖아 네가 그렇게도 좋아했었던 그 노래처럼 그때 네가 나를 떠난 이후 쉬지 않고 연습하는 이유 혹시 어디선가 들린다면 너 돌아볼까 봐 이제 우리 얘기가 돼버린 네가 좋아했던 노래들을 불러보면 네가 울 것 같아서 신용재를 따라 하고 따라 해도 안 되는 것처럼 사랑을 따라 하고 흉내 내도 안 되는 것처럼 목이 부서져라 이 노래를 불러도 너는 다시 돌아오질 않잖아 그때 그 노래처럼 아직 내가 너를 못 버리는 이유 여태 바보처럼 기다리는 이유 아직 내겐 사랑이라서 아무리 미친 듯이 불러봐도 넌 안 들리나 봐 이별은 연습하고 연습해도 안 되는 건가 봐 목이 부서져라 다시 너를 불러도 너는 내게 돌아오질 않잖아 네가 그렇게도 좋아했었던 그 노래처럼
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 스쳐지나간건가 뒤돌아보지만 그냥 사람들만 보이는거야 다와가는 집근처에서 괜히 핸드폰만 만지는거야 한번 연락해 볼까 용기내 보지만 그냥 내 마음만 아쉬운 거야 걷다가 보면 항상 이렇게 너를 바라만 보던 너를 기다린다고 말할까 지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까 지나치는 꽃들 속에서 네 샴푸향만 보이는거야 스쳐지나간건가 뒤 돌아보지만 그냥 내 마음만 바빠진거야 걷다가 보면 항상 이렇게 너를 바라만 보던 너를 기다린다고 말할까 지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까 어떤 계절이 너를 우연히라도 너를 마주치게 할까 난 이대로 아쉬워하다 너를 바라만 보던 너를 기다리면서 아무말 못하고 그리워만 할까 걷다가 보면 항상 이렇게 너를 바라만 보던 너를 생각한다고 말할까 지금 집앞에 기다리고 때론 지나치고 다시 기다리는 꽃이 피는 거리에 보고파라 이밤에 걷다가 보면 항상 이렇게 너를 아쉬워 하다 너를 기다린다고 말할까 지금 집앞에 계속 이렇게 너를 아쉬워 하다 너를 연락했다 할까
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),일부러 몇 발자국 물러나 내가 없이 혼자 걷는 널 바라본다 옆자리 허전한 너의 풍경 흑백 거리 가운데 넌 뒤돌아본다 그때 알게 되었어 난 널 떠날 수 없단 걸 우리 사이에 그 어떤 힘든 일도 이별보단 버틸 수 있는 것들이었죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 두세 번 더 길을 돌아갈까 적막 짙은 도로 위에 걸음을 포갠다 아무 말 없는 대화 나누며 주마등이 길을 비춘 먼 곳을 본다 그때 알게 되었어 난 더 갈 수 없단 걸 한 발 한 발 이별에 가까워질수록 너와 맞잡은 손이 사라지는 것 같죠 어떻게 이별까지 사랑하겠어 널 사랑하는 거지 사랑이라는 이유로 서로를 포기하고 찢어질 것같이 아파할 수 없어 난 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데 어떻게 내가 어떻게 너를 이후에 우리 바다처럼 깊은 사랑이 다 마를 때까지 기다리는 게 이별일 텐데
솔직하게 말해서 나,김나영,햇살이 좋았던 그 날 그만하자며 말을 하는 너 전혀 믿어지지가 않아 지금 이순간 모든 시간이 멈춘 듯 어떤 말을 해야할지 어떤 표정 지어야할지 아무것도 생각나지를 않아 솔직하게 말해서 나 헤어질 자신이 없어 괜찮은 척 웃으며 널 보내줄 자신이 없어 네가 없는 내 하루 하루도 생각한 적 없는데 나보다 나를 니가 더 잘 알면서 마지막 인사를 하며 멀어져가는 너를 보며 아무것도 할수있는 게 없어 솔직하게 말해서 나 헤어질 자신이 없어 괜찮은 척 웃으며 널 보내줄 자신이 없어 네가 없는 내 하루 하루도 생각한 적 없는데 나보다 나를 니가 더 잘 알면서 이별앞에 서 있는 너의 눈에 비춰진 애써 웃는 내 모습이 나를 더욱 아프게만해 솔직하게 말할게 나 헤어지고 싶지 않아 너 없이 나 혼자서 지낼 자신이 난 없어 네가 없는 내 하루 하루도 견딜수가 없는데 나보다 네가 먼저였던 날 나보다 나를 니가 더 잘 알면서
사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),우리 하지 못한 말들 마저 얘기해요 산들바람이 우릴 감싸줄 때 이렇게 마주 앉아 이별에 대해 말해보아요 이번 겨울이 지나고 꽃이 피고 나면 우리 이대로 다 괜찮을 거라 했었는데 아무리 노력을 해도 시들어가는 맘 견디기 힘들어 사월이 지나면 그땐 우리 아무 일도 없듯이 발길을 돌려요 그래야 마지막 우리 인사가 아름다울 수 있게 그때까진 조금만 더 웃어요 웃어요 다시 시간을 되돌려 처음 만난다면 가로등 옆에 서 있지 말아요 미소 짓지도 왼손으로 머릴 넘기지 마요 그래야 내가 그대를 지나칠 테니까 사월이 지나면 그땐 우리 아무 일도 없듯이 발길을 돌려요 그래야 마지막 우리 인사가 아름다울 수 있게 그때까진 조금만 더 웃어요 네 맘을 다독여봐도 변하는 이율 물어도 멀어져 그러니 이런 나보다 더 나은 사람을 만나 미소 짓기를 바래요 그대가 멀어진 만큼 시야가 흐려지네요 사랑했었기 때문에 우리 마지막 인사를 해요 이 시간이 가기 전에 행복해요 그걸 빌어요 기억해요 사랑했단 걸 우리 우리 우리 우리
FANCY,TWICE (트와이스),지금 하늘 구름 색은 Tropical yeah 저 태양 빨간빛 네 두 볼 같아 Oh tell me I’m the only one baby I fancy you I fancy you fancy you It’s dangerous 따끔해 넌 장미 같아 괜찮아 조금도 난 겁나지 않아 더 세게 꼭 잡아 Take my hand 좀 위험할거야 더 위험할거야 baby 달콤한 초콜릿 아이스크림처럼 녹아버리는 지금 내 기분 So lovely 깜깜한 우주 속 가장 반짝이는 저 별 저 별 그 옆에 큰 네 별 거기 너 I fancy you 아무나 원하지 않아 Hey I love you Love ya 그래 너 I fancy you 꿈처럼 행복해도 돼 Cause I need you What Fancy you 누가 먼저 좋아하면 어때 Fancy you 지금 너에게로 갈래 Fancy 매일매일 난 정말 아무것도 못하네 Oh my Mayday 이러다 큰일 낼 것 같은데 Bang bang 머리가 홀린 듯 Reset이 돼 어쩌면 좋아 이게 맞는건지 몰라 SOS Swim swim 너란 바다에 잠수함이 돼 매일이 Birthday 달콤해 너와 나의 Fantasy Dream dream 마치 꿈같아 볼 꼬집어봐 요즘 나의 상태 메세진 랄랄라 Baby 달콤한 초콜릿 아이스크림처럼 녹아버리는 지금 내 기분 So lovely 깜깜한 우주 속 가장 반짝이는 저 별 저 별 그 옆에 큰 네 별 거기 너 I fancy you 아무나 원하지 않아 Hey I love you Love ya 그래 너 I fancy you 꿈처럼 행복해도 돼 Cause I need you What Fancy you 누가 먼저 좋아하면 어때 Fancy you 지금 너에게로 갈래 Fancy 연기처럼 훅 사라질까 늘 가득히 담아 널 두 눈에 담아 생각만으로 포근해져 몰래 뒤에서 안아 널 놓지 않을래 거기 너 I fancy you 아무나 원하지 않아 Hey I love you Love ya 그래 너 I fancy you 꿈처럼 행복해도 돼 Cause I need you What Fancy you 누가 먼저 좋아하면 어때 Fancy you 지금 너에게로 갈래 Fancy
헤어져줘서 고마워,벤,헤어져줘서 고마워 나는 헤어진 게 아니야 정말 헤어져서 고마워 네 맘은 진심이 아니야 같은 말 하게 하지 마 더 미워하게 하지 마 난 안 바뀌니까 아니 내가 정말 잘할게 아냐 사람 마음 쉽게 안 변해 우린 안 봐도 뻔해 맨날 말로만 끝내자 말하면 뭐 해 질질 끌지 말고 헤어지자 그래 오늘은 꼭 헤어지자 그만 미워하고 더 후회하지 말고 그냥 미친 척하고 우리 헤어져 보자 사랑인척하지만 너와 나 이미 다 끝났잖아 되돌릴 수 없잖아 맨날 말로만 끝내자 말하면 뭐 해 질질 끌지 말고 헤어지자 진짜 사랑이 난 그리워 그래 네 마음 다 이해해 함께 있어도 난 외로워 뭐가 됐건 내가 미안해 이해한다고 하지 마 미안하다고 하지 마 듣기 싫으니까 아니 내가 정말 잘할게 원래 사랑이란 언젠간 변해 우리도 변했으니까 맨날 말로만 끝내자 말하면 뭐 해 질질 끌지 말고 헤어지자 그래 오늘은 꼭 헤어지자 그만 미워하고 더 후회하지 말고 그냥 미친 척하고 우리 헤어져 보자 사랑인척하지만 너와 나 이미 다 끝났잖아 되돌릴 수 없잖아 더 이상 시간 끌지 말고 헤어지자 마지막이라고 늘 믿었던 우리 사랑이 이젠 지긋지긋해 더 안 되는 거 붙잡지 좀 말고 제발 질질 끌지 말고 헤어지자 우리 이제 그만 보내주자 결국 생각나고 죽도록 후회해도 더 기대하지 말고 우리 헤어져 보자 이젠 사랑 아니야 너와 나 사랑했던 그때로 돌아갈 수 없잖아 맨날 말로만 끝내자 말하면 뭐 해 질질 끌지 말고 헤어지자 그래 우리 이제 헤어지자
사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),어떻게 보면 참 전쟁 같았다 우리 행복한 나날의 수만큼 아프게 했던 날들도 많았고 울렸던 날도 많았어 길었던 시간을 지켜줬던 너야 너를 너무 사랑해서 그게 멀어지게 한 걸까 어리숙한 내 잘못인가 사랑이 식었다고 솔직히 말해도 돼 가슴 뛰는 설렘이 네게 온 거라고 나보다 좋은 사람이 너에게 생긴 거라고 다른 핑계겠지 우린 안 맞는다고 질리게 들었어 네 맘이 떠나간 후로 혹시나 우리가 괜찮은 시절에 만나 잘해줬다면은 우리 조금은 다를까 너를 너무 사랑해서 그게 멀어지게 한 걸까 철이 없는 내 욕심인가 사랑이 식었다고 솔직히 말해도 돼 가슴 뛰는 설렘이 네게 온 거라고 나보다 좋은 사람이 너에게 생긴 거라고 아침이 까맣도록 취해 잊으려 날 망가뜨려도 남아 있는 너 나보다 더 어디 가 좋아서 떠난 거니 인정하려 해봐도 미워 내가 좀 더 잘나서 성공할 때쯤 네 앞에 서 볼게 그때 넌 홀로이기를
